,county,population
0,Alameda,1682353
1,Amador,40474
2,Butte,211632
3,Calaveras,45292
4,Colusa,21839
5,Contra Costa,1165927
6,El Dorado,191185
7,Fresno,1008654
8,Glenn,28917
9,Humboldt,136463
10,Imperial,179702
11,Inyo,19016
12,Kern,909235
13,Kings,152486
14,Lake,68163
15,Los Angeles,10014009
16,Marin,262321
17,Mariposa,17131
18,Mendocino,91601
19,Merced,281202
20,Monterey,439035
21,Napa,138019
22,Nevada,102241
23,Orange,3186989
24,Placer,404739
25,Riverside,2418185
26,Sacramento,1585055
27,San Benito,64209
28,San Bernardino,2181654
29,San Diego,3298634
30,San Francisco,873965
31,San Joaquin,779233
32,San Luis Obispo,282424
33,San Mateo,764442
34,Santa Barbara,448229
35,Santa Clara,1936259
36,Santa Cruz,270861
37,Shasta,182155
38,Sierra,3236
39,Siskiyou,44076
40,Solano,453491
41,Sonoma,488863
42,Stanislaus,552878
43,Sutter,99633
44,Tehama,65829
45,Trinity,16112
46,Tulare,473117
47,Tuolumne,55620
48,Ventura,843843
49,Yolo,216403
50,Yuba,81575
51,Alpine,1204
52,Del Norte,27743
53,Lassen,32730
54,Madera,156255
55,Modoc,8700
56,Mono,13195
57,Plumas,19790
